Sample_ID,Alisertib,Arsenic Trioxide,Axitinib,Azacitidine,Dasatinib,Doramapimod,Foretinib,GW-2580,Idelalisib,KI20227,Linifanib,Midostaurin,Motesanib,NVP-TAE684,Pazopanib,Quizartinib,Ruxolitinib,Sorafenib,Sunitinib,Vemurafenib,NF-kB Activation Inhibitor,Cabozantinib,Crizotinib,Cytarabine,Entospletinib,Ibrutinib,JQ1,Nutlin-3,Palbociclib,Panobinostat,Trametinib,Vandetanib,Venetoclax,Artemisinin,AT 101,Birabresib,Birinapant,Bortezomib,GSK2879552,Olaparib,AGI combo,Bosutinib,Nintedanib,Sirolimus,Vatalanib,Vismodegib,PH-797804,AZD5991,Dordaviprone,Telaglenastat,Decitabine
S409,0.24,,,,0.58,0.34,,,0.238,,,,,,,0.55,0.197,0.474,,0.0,,0.444,0.19,0.41,0.258,0.126,0.576,0.224,0.272,0.516,0.514,0.314,0.89,0.0,,,,,,,,,,,,,,,,,
S410,0.262,,,,0.676,0.746,,,0.44,,,,,,,0.635,0.199,0.397,,0.057,,0.518,0.512,0.344,0.44,0.324,0.412,0.0,0.0,0.954,0.786,0.122,0.18,0.242,,,,,,,,,,,,,,,,,
C220,,,,,,,,,,,,,,,,,0.494,,,0.867,,0.258,,0.522,,0.884,0.568,0.0,0.594,0.954,,0.886,0.742,,,,,,,,,,,,,,,,,,
S411,0.146,,,,0.42,0.55,,,0.179,,,,,,,0.432,0.006,0.4,,0.06,,0.238,0.44,0.206,0.398,0.486,0.34,0.06,0.202,,0.456,0.466,0.6,0.35,,,,,,,,,,,,,,,,,
S412,,,,,,,,,,,,,,,,,,,,,,,,,,0.484,,,,,,,0.848,0.0,,,,,,,,,,,,,,,,,
C223,0.488,,,,0.422,0.458,,,0.318,,,,,,,0.571,0.202,0.479,,0.0,,0.448,0.37,0.25,0.392,0.454,0.41,0.106,0.316,0.818,0.59,0.194,0.682,0.0,,,,,,,,,,,,,,,,,
S413,0.23,,,,0.466,0.488,,,0.262,,,,,,,0.539,0.195,0.394,,0.038,,0.372,0.355,0.296,0.294,0.33,0.498,0.05,0.232,0.772,0.514,0.166,0.504,0.152,,,,,,,,,,,,,,,,,
C225,0.146,,,,0.51,0.308,,,0.405,,,,,,,0.421,0.195,0.374,,0.117,,0.362,0.37,0.21,0.41,0.33,0.444,0.09,0.252,,0.164,0.196,0.604,0.098,,,,,,,,,,,,,,,,,
S414,0.316,,,,0.146,0.324,,,0.244,,,,,,,0.458,0.0,0.13,,,,,0.19,0.274,,0.104,0.386,0.14,0.004,,0.308,,0.808,0.0,,,,,,,,,,,,,,,,,
S415,0.11,,,,0.262,0.354,,,0.082,,,,,,,0.505,0.131,0.283,,0.129,,0.222,0.221,0.356,0.21,0.292,0.41,0.36,0.388,0.76,0.328,0.16,0.714,0.0,,,,,,,,,,,,,,,,,
S416,0.03,,,,0.516,0.398,,,0.308,,,,,,,0.526,0.282,0.138,,0.0,,0.264,0.182,0.236,0.426,0.248,0.506,0.0,0.016,0.892,0.726,0.178,0.0,0.0,,,,,,,,,,,,,,,,,
C233,0.0,,,,0.455,0.402,,,0.278,,,,,,,0.637,0.212,0.047,,0.0,,0.162,0.206,0.096,0.348,0.214,0.366,0.03,0.038,0.858,0.702,0.204,0.092,0.0,,,,,,,,,,,,,,,,,
S417,0.242,,,,0.449,0.23,,,0.499,,,,,,,0.204,0.084,0.187,,0.477,,0.258,0.616,0.494,0.468,0.0,0.0,0.452,0.066,0.0,0.906,0.0,0.718,0.086,,,,,,,,,,,,,,,,,
S418,0.2,,,,,,,,0.19,,,,,,,0.652,0.024,0.0,,0.392,,0.06,0.418,,0.31,,,,,,0.362,0.256,,,,,,,,,,,,,,,,,,,
